iddetcessnr,cdecategadsacem,numcatal,numpers,gestnr,datdbtvld,datfinvld,idctr,idpcttypdrt
6331,SE,462773,58052,0,,,2125,168481
6333,SE,462773,58052,0,,,2125,168483
6335,SE,462773,58052,0,,,2125,168485
650530,SE,462773,109933,0,,,257564,1644321
650531,SE,462773,109933,0,,,257564,1644325
650533,SE,462773,109933,0,,,257564,1644328
710658,SE,462773,109933,0,,,278479,1786418
710659,SE,462773,109933,0,,,278479,1786419
710660,SE,462773,109933,0,,,278479,1786420
915982,SE,462773,109933,0,,,361147,2293102
915983,SE,462773,109933,0,,,361147,2293103
915984,SE,462773,109933,0,,,361147,2293104
919245,SE,462773,109933,0,,,362268,2300337
919246,SE,462773,109933,0,,,362268,2300338
919247,SE,462773,109933,0,,,362268,2300339
923302,SE,462773,109933,0,,,363707,2308980
923303,SE,462773,109933,0,,,363707,2308981
923304,SE,462773,109933,0,,,363707,2308982
926685,SE,462773,109933,0,,,364908,2316697
926686,SE,462773,109933,0,,,364908,2316698
926687,SE,462773,109933,0,,,364908,2316699
927802,SE,462773,109933,0,,,365307,2319984
927803,SE,462773,109933,0,,,365307,2319985
927804,SE,462773,109933,0,,,365307,2319986
935965,SE,462773,109933,0,,,368208,2375061
935966,SE,462773,109933,0,,,368208,2375062
935967,SE,462773,109933,0,,,368208,2375063
939185,SE,462773,109933,0,,,369388,2382691
939186,SE,462773,109933,0,,,369388,2382692
939187,SE,462773,109933,0,,,369388,2382693
942285,SE,462773,109933,0,,,370488,2390324
942286,SE,462773,109933,0,,,370488,2390325
942287,SE,462773,109933,0,,,370488,2390326
942828,SE,462773,109933,0,,,370709,2391751
942829,SE,462773,109933,0,,,370709,2391752
942830,SE,462773,109933,0,,,370709,2391753
947382,SE,462773,109933,0,,,372347,2401791
947383,SE,462773,109933,0,,,372347,2401792
947384,SE,462773,109933,0,,,372347,2401793
947662,SE,462773,109933,0,,,372447,2402386
947663,SE,462773,109933,0,,,372447,2402387
947664,SE,462773,109933,0,,,372447,2402388
957728,SE,462773,109933,0,,,376089,2424532
957729,SE,462773,109933,0,,,376089,2424533
957730,SE,462773,109933,0,,,376089,2424534
958685,SE,462773,109933,0,,,376448,2426663
958686,SE,462773,109933,0,,,376448,2426664
958687,SE,462773,109933,0,,,376448,2426665
961662,SE,462773,109933,0,,,377507,2433619
961663,SE,462773,109933,0,,,377507,2433620
961664,SE,462773,109933,0,,,377507,2433621
964862,SE,462773,109933,0,,,378747,2442289
964863,SE,462773,109933,0,,,378747,2442290
964864,SE,462773,109933,0,,,378747,2442291
976788,SE,462773,109933,0,,,382849,2468834
976789,SE,462773,109933,0,,,382849,2468835
976790,SE,462773,109933,0,,,382849,2468836
984248,SE,462773,109933,0,,,385449,2485721
984249,SE,462773,109933,0,,,385449,2485722
984250,SE,462773,109933,0,,,385449,2485723
987725,SE,462773,109933,0,,,386668,2495744
987726,SE,462773,109933,0,,,386668,2495745
987727,SE,462773,109933,0,,,386668,2495746
992282,SE,462773,109933,0,,,388287,2506304
992283,SE,462773,109933,0,,,388287,2506305
992284,SE,462773,109933,0,,,388287,2506306
993282,SE,462773,109933,0,,,388667,2509137
993283,SE,462773,109933,0,,,388667,2509138
993284,SE,462773,109933,0,,,388667,2509139
1000422,SE,462773,109933,0,,,391227,2530908
1000423,SE,462773,109933,0,,,391227,2530909
1000424,SE,462773,109933,0,,,391227,2530910
1002162,SE,462773,109933,0,,,391807,2539970
1002163,SE,462773,109933,0,,,391807,2539971
1002164,SE,462773,109933,0,,,391807,2539972
1003245,SE,462773,109933,0,,,392208,2542589
1003246,SE,462773,109933,0,,,392208,2542590
1003247,SE,462773,109933,0,,,392208,2542591
1004671,SE,462773,109933,0,,,392690,2545655
1004672,SE,462773,109933,0,,,392690,2545656
1004673,SE,462773,109933,0,,,392690,2545657
1005485,SE,462773,109933,0,,,392968,2547332
1005486,SE,462773,109933,0,,,392968,2547333
1005487,SE,462773,109933,0,,,392968,2547334
1009345,SE,462773,109933,0,,,394328,2556048
1009346,SE,462773,109933,0,,,394328,2556049
1009347,SE,462773,109933,0,,,394328,2556050
1010291,SE,462773,109933,0,,,394670,2558104
1010292,SE,462773,109933,0,,,394670,2558105
1010293,SE,462773,109933,0,,,394670,2558106
1012365,SE,462773,109933,0,,,395428,2563160
1012366,SE,462773,109933,0,,,395428,2563161
1012367,SE,462773,109933,0,,,395428,2563162
1237786,SE,462773,109933,0,,,469400,3311777
1237787,SE,462773,109933,0,,,469400,3311778
1237788,SE,462773,109933,0,,,469400,3311779
58115,SE,398280,58646,0,,,19488,276788
58116,SE,398280,58646,0,,,19488,276790
58117,SE,398280,58646,0,,,19488,276793
379894,SE,398280,58646,0,,,164961,1062868
379895,SE,398280,58646,0,,,164961,1062869
379896,SE,398280,58646,0,,,164961,1062870
671579,SE,398280,58646,0,,,264950,1691644
671581,SE,398280,58646,0,,,264950,1691646
671582,SE,398280,58646,0,,,264950,1691647
22580,SE,76523,90116,0,,,7580,202615
22582,SE,76523,90116,0,,,7580,202617
22583,SE,76523,90116,0,,,7580,202618
92512,SE,466990,109933,0,,,31048,349970
92514,SE,466990,109933,0,,,31048,349972
92515,SE,466990,109933,0,,,31048,349973
741786,E,466990,109933,0,,,289349,1870108
741787,E,466990,109933,0,,,289349,1870109
741788,E,466990,109933,0,,,289349,1870110
931651,E,466990,109933,0,,,366670,2330957
931652,E,466990,109933,0,,,366670,2330958
931653,E,466990,109933,0,,,366670,2330959
975188,E,466990,109933,0,,,382249,2464279
975189,E,466990,109933,0,,,382249,2464280
975190,E,466990,109933,0,,,382249,2464281
976622,E,466990,109933,0,,,382767,2468019
976623,E,466990,109933,0,,,382767,2468020
976624,E,466990,109933,0,,,382767,2468021
162089,SE,353592,228672,0,,,54391,495497
162091,SE,353592,228672,0,,,54391,495501
162093,SE,353592,228672,0,,,54391,495503
547838,SE,353592,228672,0,,,222408,1413137
547839,SE,353592,228672,0,,,222408,1413138
547840,SE,353592,228672,0,,,222408,1413139
903281,SE,353592,228672,0,,,356820,2265759
903282,SE,353592,228672,0,,,356820,2265760
903283,SE,353592,228672,0,,,356820,2265761
911989,SE,353592,228672,0,,,359756,2284269
911990,SE,353592,228672,0,,,359756,2284270
911991,SE,353592,228672,0,,,359756,2284271
915549,SE,353592,228672,0,,,360996,2292070
915550,SE,353592,228672,0,,,360996,2292071
915551,SE,353592,228672,0,,,360996,2292072
916026,SE,353592,228672,0,,,361175,2293271
916027,SE,353592,228672,0,,,361175,2293272
916028,SE,353592,228672,0,,,361175,2293273
925049,SE,353592,228672,0,,,364336,2312797
925050,SE,353592,228672,0,,,364336,2312798
925051,SE,353592,228672,0,,,364336,2312799
925747,SE,353592,228672,0,,,364582,2314361
925748,SE,353592,228672,0,,,364582,2314362
925749,SE,353592,228672,0,,,364582,2314363
927826,SE,353592,228672,0,,,365315,2320038
927827,SE,353592,228672,0,,,365315,2320039
927828,SE,353592,228672,0,,,365315,2320040
935980,SE,353592,228672,0,,,368213,2375091
935981,SE,353592,228672,0,,,368213,2375092
935982,SE,353592,228672,0,,,368213,2375093
937352,SE,353592,228672,0,,,368717,2378137
937353,SE,353592,228672,0,,,368717,2378138
937354,SE,353592,228672,0,,,368717,2378139
941618,SE,353592,228672,0,,,370253,2388680
941619,SE,353592,228672,0,,,370253,2388681
941620,SE,353592,228672,0,,,370253,2388682
942306,SE,353592,228672,0,,,370495,2390366
942307,SE,353592,228672,0,,,370495,2390367
942308,SE,353592,228672,0,,,370495,2390368
953680,SE,353592,228672,0,,,374593,2415474
953681,SE,353592,228672,0,,,374593,2415475
953682,SE,353592,228672,0,,,374593,2415476
955170,SE,353592,228672,0,,,375123,2418612
955171,SE,353592,228672,0,,,375123,2418613
955172,SE,353592,228672,0,,,375123,2418614
957090,SE,353592,228672,0,,,375819,2423052
957091,SE,353592,228672,0,,,375819,2423053
957092,SE,353592,228672,0,,,375819,2423054
958256,SE,353592,228672,0,,,376279,2425670
958257,SE,353592,228672,0,,,376279,2425671
958258,SE,353592,228672,0,,,376279,2425672
958809,SE,353592,228672,0,,,376492,2426925
958810,SE,353592,228672,0,,,376492,2426926
958811,SE,353592,228672,0,,,376492,2426927
963971,SE,353592,228672,0,,,378390,2440199
963972,SE,353592,228672,0,,,378390,2440200
963973,SE,353592,228672,0,,,378390,2440201
964634,SE,353592,228672,0,,,378671,2441814
964635,SE,353592,228672,0,,,378671,2441815
964636,SE,353592,228672,0,,,378671,2441816
973608,SE,353592,228672,0,,,381689,2460769
973609,SE,353592,228672,0,,,381689,2460770
973610,SE,353592,228672,0,,,381689,2460771
976794,SE,353592,228672,0,,,382851,2468846
976795,SE,353592,228672,0,,,382851,2468847
976796,SE,353592,228672,0,,,382851,2468848
983462,SE,353592,228672,0,,,385147,2483800
983463,SE,353592,228672,0,,,385147,2483801
983464,SE,353592,228672,0,,,385147,2483802
984848,SE,353592,228672,0,,,385649,2487225
984849,SE,353592,228672,0,,,385649,2487226
984850,SE,353592,228672,0,,,385649,2487227
985851,SE,353592,228672,0,,,386010,2489751
985852,SE,353592,228672,0,,,386010,2489752
985853,SE,353592,228672,0,,,386010,2489753
986297,SE,353592,228672,0,,,386172,2492550
986298,SE,353592,228672,0,,,386172,2492551
986299,SE,353592,228672,0,,,386172,2492552
995689,SE,353592,228672,0,,,389576,2515674
995690,SE,353592,228672,0,,,389576,2515675
995691,SE,353592,228672,0,,,389576,2515676
996001,SE,353592,228672,0,,,389700,2516512
996002,SE,353592,228672,0,,,389700,2516513
996003,SE,353592,228672,0,,,389700,2516514
996394,SE,353592,228672,0,,,389831,2517315
996395,SE,353592,228672,0,,,389831,2517316
996396,SE,353592,228672,0,,,389831,2517317
999657,SE,353592,228672,0,,,390972,2528408
999658,SE,353592,228672,0,,,390972,2528409
999659,SE,353592,228672,0,,,390972,2528410
1005117,SE,353592,228672,0,,,392839,2546549
1005118,SE,353592,228672,0,,,392839,2546550
1005119,SE,353592,228672,0,,,392839,2546551
1005584,SE,353592,228672,0,,,393001,2547530
1005585,SE,353592,228672,0,,,393001,2547531
1005586,SE,353592,228672,0,,,393001,2547532
1006391,SE,353592,228672,0,,,393290,2549363
1006392,SE,353592,228672,0,,,393290,2549364
1006393,SE,353592,228672,0,,,393290,2549365
1007469,SE,353592,228672,0,,,393696,2552133
1007470,SE,353592,228672,0,,,393696,2552134
1007471,SE,353592,228672,0,,,393696,2552135
1012712,SE,353592,228672,0,,,395557,2563985
1012713,SE,353592,228672,0,,,395557,2563986
1012714,SE,353592,228672,0,,,395557,2563987
1014154,SE,353592,228672,0,,,396051,2566872
1014155,SE,353592,228672,0,,,396051,2566873
1014156,SE,353592,228672,0,,,396051,2566874
1018277,SE,353592,228672,0,,,397492,2576514
1018278,SE,353592,228672,0,,,397492,2576515
1018279,SE,353592,228672,0,,,397492,2576516
123094,SE,192656,514547,0,,,41327,414055
123095,SE,192656,514547,0,,,41327,414056
123096,SE,192656,514547,0,,,41327,414057
253246,SE,497675,371698,0,,,92790,708115
253247,SE,497675,371698,0,,,92790,708116
253248,SE,497675,371698,0,,,92790,708117
267108,SE,684429,687353,0,,,97510,744131
267109,SE,684429,687353,0,,,97510,744132
267110,SE,684429,687353,0,,,97510,744133
305471,SE,684429,687353,0,,,139962,880292
305473,SE,684429,687353,0,,,139962,880294
305475,SE,684429,687353,0,,,139962,880296
629453,SE,684429,687353,0,,,250005,1591264
629454,SE,684429,687353,0,,,250005,1591265
629455,SE,684429,687353,0,,,250005,1591266
635957,SE,684429,687353,0,,,252393,1606517
635958,SE,684429,687353,0,,,252393,1606518
635959,SE,684429,687353,0,,,252393,1606519
899808,SE,684429,687353,0,,,355645,2258294
899809,SE,684429,687353,0,,,355645,2258295
899810,SE,684429,687353,0,,,355645,2258296
909216,SE,684429,687353,0,,,358819,2278399
909217,SE,684429,687353,0,,,358819,2278400
909218,SE,684429,687353,0,,,358819,2278401
919055,SE,684429,687353,0,,,362198,2299814
919056,SE,684429,687353,0,,,362198,2299815
919057,SE,684429,687353,0,,,362198,2299816
920396,SE,684429,687353,0,,,362685,2302852
920397,SE,684429,687353,0,,,362685,2302853
920398,SE,684429,687353,0,,,362685,2302854
922931,SE,684429,687353,0,,,363570,2308083
922932,SE,684429,687353,0,,,363570,2308084
922933,SE,684429,687353,0,,,363570,2308085
923037,SE,684429,687353,0,,,363612,2308316
923038,SE,684429,687353,0,,,363612,2308317
923039,SE,684429,687353,0,,,363612,2308318
924780,SE,684429,687353,0,,,364233,2312192
924781,SE,684429,687353,0,,,364233,2312193
924782,SE,684429,687353,0,,,364233,2312194
925397,SE,684429,687353,0,,,364452,2313525
925398,SE,684429,687353,0,,,364452,2313526
925399,SE,684429,687353,0,,,364452,2313527
926526,SE,684429,687353,0,,,364855,2316286
926527,SE,684429,687353,0,,,364855,2316287
926528,SE,684429,687353,0,,,364855,2316288
928402,SE,684429,687353,0,,,365527,2321413
928403,SE,684429,687353,0,,,365527,2321414
928404,SE,684429,687353,0,,,365527,2321415
928781,SE,684429,687353,0,,,365680,2322431
928782,SE,684429,687353,0,,,365680,2322432
928783,SE,684429,687353,0,,,365680,2322433
931524,SE,684429,687353,0,,,366621,2330599
931525,SE,684429,687353,0,,,366621,2330600
931526,SE,684429,687353,0,,,366621,2330601
932158,SE,684429,687353,0,,,366859,2332766
932159,SE,684429,687353,0,,,366859,2332767
932160,SE,684429,687353,0,,,366859,2332768
932503,SE,684429,687353,0,,,366988,2333464
